Description$Keywords
five$five
rosalie atletic generous gentl strong funny smart pretty encouraging honest loyal energetic$rosalie, gentl, atletic, loyal, energetic
cousin grandma becky making big big bundle mate quilt made plastic bag homeless st gouge lot people homeless people thought random kindness$homeless, big, mate, gouge, bundle
one day dad went starbucks lady front u paid stuff paid people back u$paid, starbucks, stuff, lady, front
one day dad went starbucks lady front u paid stuff paid people back u$paid, starbucks, stuff, lady, front
one day mother went lunch mcdonalds got window get food told person front u paid food told people done without breaking chain th$food, mcdonalds, breaking, told, chain
going eat one night friend arrived realized forgotten money friend began ordering food stood awkwardly woman hardly even know realizing predicament walked bought entire meal paid real joy know still good people even seem hiding really inspired helped realize simple act kindness like appreciated$ordering, awkwardly, predicament, hardly, realizing
yesterday bus going along zhonhua road driver saw old man lying side road woman next shouting help bus driver year old wang ping stopped bus without thinking twice got asked woman happened said man heart probleme go hospital mr wang know quickly told passenger must take man hospital expected passenger get wait next bus surprise agreed go passenger helped mr wang move man om bus thanks mr wang passenger doctor saved man time sad many people want help others want trouble say one passenger driver think thought saving life$passenger, wang, bus, man, mr
birthday week friend gave cupcake make perler bead birthday$birthday, perler, bead, cupcake, week
help someone know feel let tell help people feel good feel better mean someone mean would like nice please help everywhere even try even try help people far far away love keep heart happy kid mite mean mom dad say walk away heart everywere$mean, far, feel, help, mite
began th grade community service project thought community service realized depends define community relate community mostly community around everyday school since remember community service part family value guiding principle school attend attended school ten year school grown acre expansive organic garden pond farm animal second youngest family family part waldorf community year built building planted garden cared animal cheerfully volunteered work weekend evening school regularly beauty service always part community work desert marigold school younger child gnome fairy campus performed random act kindness beauty beautiful festival performance celebrated good natural world changing season holiday friendship accepted absolute truth believed way world really world beauty kindness got older became aware community beyond campus garden gentle curriculum found world always place kindness beauty everyday expectation also started notice little school community grown much campus new people joined community benefit experiencing know tricky gnome whose mischievous deed needed fixing cleaning spirited fairy magically transformed little space beautiful nature table natural work art seemed enough volunteer staff get everything done much many thing seem beautiful older guess jaded perception magic fairy gnome faded somewhat sight although still occasionally see glimmer kindergarten yard older sister also similar view mine wanted something help make campus beautiful came plan anonymously make community beautiful random act community kindness beauty decided community service project would service beautifying school functional way hopefully appease remaining fairy gnome elemental being may still reside school selected two campus project worked together designed project got permission administration painted boy girl bathroom lower grade yard first used celestial sun moon representation door artfully designed sister selected third project beautify campus bring imagination magic near early childhood yard tree near entrance early childhood yard sick needed cut young child upset loss tree stump left sad reminder living tree stood entrance yard decided convert tree stump planter fairy house visiting fairy stop little snack put little window bark fairy house child peek little kitchen walk little thing even though hand chiseling tree stump took many hour well worth evening weekend time beautify part campus heal wound natural environment school hope story inspires potential raktivists consider random act kindness beauty school$community, fairy, campus, beauty, school
haha tricked family family mom dad brother well giving gift giving clothes telling stupid stuff giving money buying food water live everyday sometimes giving glass water bringing something nice niccccccce family$giving, water, family, tricked, niccccccce
complemented family strength kindness towards$complemented, strength, towards, family, kindness
purchased article catalog turned wrong size went post office return package overheard clerk say would like pizza clerk friendly helpful telling would save lot money use return label wanted something show much appreciated assistance courteousness remembered wanted pizza went nearest pizza place bought pizza coupon surprised could say careful ask might get$pizza, clerk, return, courteousness, catalog
help one school alone corner asked wanted friend said yes friend since$corner, friend, yes, alone, since
good friend elementary school always comforted need helped answered question always beside wish could still friend whose name austin$austin, comforted, answered, whose, beside
put chair classroom$chair, classroom, put
recently looking random act kindness facebook page found coolest thing sneaky card loved idea spreading kindness raktivist next day mom went kohl got shuffled deck pulled card said try new food mom said would cook macaroni salad suspense tried tasted great loved ingredient macaroni salad amazed next day went putt putt funhouse card said try give card someone near family want hid putt putt fellow raktvists today peace$putt, card, macaroni, salad, loved
fiend birthday go school mom pregnant go work make feel better made small cupcake perler bead$perler, fiend, bead, cupcake, pregnant
last week help mom cheese cake mmmmm yummmy next day help mom super appreciate finaly help dad mom grandmother week ohhh forgot l recipe mom week spanash egg boruto sorry spanash egg boruto like naruto burrito xd week end$spanash, boruto, week, mom, egg
parent wanted clean closet break many clothes closet wear small asked parent place donate clothes small said svms drop box clothes donated would given people need clothes next time clean closet throw away bad shape many place donate clothes go someone need$clothes, closet, donate, clean, svms
upon time saw groundhog backyard searching food searched google groundhog eats went outside backyard gave fruit eat$groundhog, backyard, eats, google, searched
one day quarantine homework reading book realized people poor age opportunity learn go school thought pray also thank god every day everything$pray, homework, quarantine, reading, poor
dollar store best friend went bathroom homeless person bathroom sleeping put$bathroom, sleeping, dollar, store, homeless
someone got dissed valentine day someone liked could tell upset one girl like everything alright girl girl like got dissed one girl like probably jerk way$dissed, girl, like, jerk, alright
strawberry garden grow plump juicy fine sweeter far wise men know spring woodland vine need bowl silver spoon sugar spice cream wild berry plucked june beside trucking stream$woodland, vine, trucking, spice, plump
thank much risking life covid nice without gotten thank much take care$risking, thank, much, gotten, covid
story written student school random act kindness week sensitive helpful sometimes attentive everything instance notice perform act friend relative even stranger however realize share kindness everywhere people need secret make action public kindness detail small thing everyone use coffee mug cafe wash done see stranger need coin cashier give hear door school squeaking oil would reply many people use method think unique yes agree method acting million people use may realize little little begin change mindset looking help others often look family friend citizen city someone directly want need help others make choice help person$method, use, realize, need, stranger
story written random act kindness day one pupil andrew kindness integral part life fill life warmth joy positive feeling therefore share kindness story would like share story brother riding bike suddenly noticed dog falling pit could get decided help first called emergency service answered able help u started trying pull dog first time failed could get pit reach dog brother started smaller managed climb pit raise dog high could took dog pulled surface pulled brother pit turned dog blind therefore probably notice pit fell took safe place went home happy help dog$pit, dog, therefore, brother, pulled
two year ago l living homeless shelter raped one male resident started stalking told someone done psychology stud err nut local college free counseling college credit told happened let sit table ever sitting anywhere alone never forget$college, stud, stalking, raped, nut
count exercise walk take deep breath something else love something creative listening favourite music$favourite, something, exercise, creative, deep
later make thing learning news good later know lot desperate person passing sidewalk read message cheer help people always dish home dishwasher$later, desperate, dishwasher, sidewalk, passing
random act kindness kid celebrate rakweek feb one pay forward activity kiddos surprise deserving service worker think someone community deserves appreciation firefighter nurse postal service worker bus driver crossing guard etc bake cooky surprise bouquet flower write note gratitude spend one evening writing thank letter someone made difference life create kindness idea jar ask family member write one act kindness separate slip paper fold put jar choose one day share appreciation write note family member telling appreciate pay backward go grocery store coffee shop toll booth pay person behind give compliment practice complimenting person talk one day bonus contest see compliment people take day spend min something really love eat dinner together sit family meal play kindness doorbell dash together create happiness basket neighbor sneak front door leave basket ring doorbell run away fast donate dough give child$write, jar, doorbell, pay, basket
day ago saw lady looked cold felt really bad outside store called walmart went store bought blanket people ask thought said well lady would also want somebody something kindness story unknown$lady, store, unknown, walmart, blanket
difficult year u relatively obvious reason covid happened forced stay home isolated people possibly family u even go social distance mask hard covid dad major surgery dad got diagnosed stage cancer parent got covid last week th grade go anywhere except graduation understanding teacher friend mom even got covid pneumonia lung example however especially difficult time felt important made feel better took mind bad thing life love able make difference even small difference someone day please remember thing benefit even person matter going take much change person life even smile go long way$covid, even, difficult, got, difference
boy hug persone coffee restaurant smile give small coffee friend party$coffee, persone, party, restaurant, hug
couple day ago taking walk saw lot people decided start saying hello also wished nice day funny see say hello people make happy always brings smile face feel proud cannot wait today try free gaby$hello, gaby, wished, brings, wait
couple year ago introduced wonderfully great initiative called random kindness week name speaks call action show kindness capacity day foundation denver spearhead directive charge take week step normal routine comfort zone attempt new random kindness day celebratory week thought profound wrote blog post wanted inspire others embrace endeavor encouraged people something nice stranger make new friend give sincere compliment everyone problem walk walk may thrown around extra compliment two smiled little told buddy much valued friendship honestly say sitting firmly sideline added number new life list actively participate random kindness week looked date marked calendar completely forgot february received reminder notification phone said simply happy rak week unprepared sound strange huh unprepared show kindness yep guilty complete loss one point even asked kindness would thought someone told c spelled dog sat desk stared floor hoped answer magically appear sat long time magic read blog post call action vague became even confused prayed heavenly father mean idiot need open heart educate kindness show want use week looked floor heard profound whisper experience kindness happened life feel kindness another person whisper turned loud stern command start put together day plan attack executed monday reach someone positively impacted professional career express appreciation influenced life rak sent e mail two men gave chance live dream coaching college football everett todd hired volunteer coach blinn college mike sinquefield hired recruiting coordinator tcu year later told know might sound little weird today without thank tuesday let someone know prayer rak reached high school buddy wife year old son jackson backyard brawl leukemia receiving update facebook inspired strength courage wanted parent know prayer coming way also shared wonderfully great story another family friend whose granddaughter stood toe toe cancer whipped butt told thought important heard story like wednesday something complete stranger rak bought grocery random person confession strategically picked person basket pretty light wanted something nice unexpected someone without taking loan purchased milk creamer banana valentine card thing told woman like buy grocery today responded heard pay forward right handed one live list business card back actually written pay forward also wished happy random kindness week appreciative promised would pay forward thursday let family know much care rak sent flower sister simple note expressing much loved amazing sister told tell enough friday valentine day something nice spouse rak played hooky work gave wife entire day could anything wanted held fort kiddos try give couple hour week mommy day life sometimes throw wrench plan wrote facebook message rose delivered today sparkling jewelry crazy stuffed animal got best valentine day gift could ever receive honey took work today took kid gave full day say amazing hubby ever grabbed yoga mat good read breast pump ha sorry tmi shrug baby gotta eat headed feeling refreshed saturday embrace power presence rak mom year old cousin life glen rose spent little hour saturday morning discussing local politics family history sharp funny opinionated thing miss two grandmother leaving decided would nice soon promised remember offer coffee next time sunday express gratefulness parent rak simply wrote parent thank note expressing appreciation greatest parent grandparent world closed note writing love guy much never want question gratefulness confession hard time writing post last thing wanted scream awesome look definitely point kept asking sharing never came good answer kept writing hit maybe maybe one random act kindness inspire someone else maybe reach person inspired say thank tell sibling much love express gratitude folk realized throughout process enough tragic reason normal routine outside comfort zone show kindness random added current life list sure endeavor made realize difficult step spotlight put emphasis others kindness putting others day executing plan attack made vow remove randomness act kindness promised intentional charge intentional showing kindness difficult note e mail letter word smile helping hand minute undivided attention accomplish start something another person right promise completely change mindset positively impact day tomorrow$rak, kindness, week, random, day
couple year ago serious mental health struggle friend always tried best help would listen needed simply distracted troubling put aside lot personal issue make sure okay mean world day try make every day kindness showed time life changing always remember$troubling, distracted, aside, serious, changing
day go national kindness day small thing made little girl happy name erica going may day went dentist playing phone like teen ha saw little girl asking mom go grab coloring sheet shy turn phone say go get go get coloring sheet set table color hope made day made feel good friend$coloring, sheet, go, phone, made
day ago brother played pillow war stayed two different corner living room took several pillow sit bring one laughed lot got together$pillow, laughed, war, stayed, corner
month ago school lunch time friend sitting table friend opened lunchbox realized happened morning stupid stuff laugh friend hitting lunchbox fence thermos exploded yogurt lunchbox little bit soup left gave bowl goldfish cracker$lunchbox, thermos, goldfish, cracker, fence
year ago kid younger stopped local barbecue chicken place buy dinner kid tired grumpy youngest adamant want chicken dinner fully refused get car man walked asked like chicken bought explained friend owned shop stopped say hi felt weird buying something already dinner plan gratefully accepted rak made feel happy day$chicken, dinner, stopped, grumpy, barbecue
year ago husband started writing series childrens book called jett around world series boy travel different city book intention teaching kid world around started business idea quickly evolved social worker urged u something bigger idea committed donating book school kid need reach goal selling book far donated book school nairobi minimal supply wait hear kid see next opportunity give back seems endless$book, series, kid, idea, urged
friend friend mine single mother two young child son autistic requires lot care unable work every day woman go without order take care child minimal government funding found living severe pain past three month needed dental surgery government provided dental coverage pay classified cosmetic basically would pay became infected going septic shock without knowledge acquired fund necessary get surgery dropped envelope mailbox note said angel watching able get surgery three day later recovering home$surgery, dental, government, three, pay
large number people including volunteer help cook serve people every thursday people homeless financially disadvantaged alone meal served given including main meal dessert takeaway meal given request need l love program involves whole community student people volunteer bring clothing shelf stable food people disability come serve people elderly life threatening illness serve others need volunteer even join together family love support book magazine donated chemist donate supply every person attendance able take bag donated bread roll home week hearing dental vaccination medical check donated people volunteer pamper giving manicure others volunteer play music attendee able take shower clothing washed supermarket store donate food bayside church van pick food help fund two location week bond together provide dignity respect deserve proud volunteered matt place past three year lifeline first contact shelter needed service people care form bond people eaten day living street whispered thank coupled tear eye volunteer know made difference greater gift love$volunteer, people, serve, donated, meal
little girl choosing birthday cake mother cannot afford missing money gentleman saw situation bought cake gave hem recognition gesture child brought cake grandfather know initiator first cake given gentleman$cake, gentleman, initiator, hem, recognition
man wife noticed gave meal feed daughter unfortunately enough money meal finished purchase left noticing$meal, noticing, unfortunately, purchase, feed
man sad homeless gave dinner hungry porbably$porbably, hungry, dinner, homeless, sad
nice litell gesture dangerous example greeting people street making card placing front door treet calling yout grandparent grandparent tidying room sinply talking parent without phone small gesture often make people happy$gesture, grandparent, yout, treet, tidying
older woman walking cobble street italy one morning stumbled across hairless cat box ally woman something common cat hairless old sickness day cold grey little cat shivering loose skin old woman saw pain hardship little green feline eye without second thought woman pulled furry coat carefully traded synthetic hair cat woman opened arm frighten cat cat reluctantly curled lap meowing care understanding stronger word woman wrapped warm heavy coat around cat pink skin woman sat cat nightfall little creature sound asleep two being born life could change used hurt pain bring joy love others life$cat, woman, hairless, coat, skin
puppy got lost middle rain took put house started dry realized necklace phone number told dad call wherver found owner immediately came grateful happy puppy safe owner$puppy, owner, wherver, necklace, dry
student elementary harshly bullied every day school thought nothing could teasing name calling gossiping hundred note horrible message reached amazing girl sweet pretty smart saw apparent reason put hard broke heart deal stand watch experienced share bullying want anyone else go promised would help gathered entire class wrote appreciation card everybody sign recess gathered multiple teacher student rally bully bullying stopped good met made multiple new friend kindness inspired many people school stop bullying rest year tried hardest bully free school$bullying, gathered, multiple, bully, school
week ago called scout could get leader went home needing lot tlc outside family losing father aggressive form cancer took six month cancer ravage year old man body struggle appearance home simply priority helped wife clean outside home bought pizza everyone fun$cancer, home, outside, tlc, scout
woman gate flight charlotte north carolina chattanooga tennessee november engaged month old grandson airport enthralled got plane happened sitting right behind u asked hold went arm like known life held entire minute gave bottle fell sound asleep landed gave u much needed break long day travel touching moment african american funny hair described mid said used healthcare field life nashville would love find let know special moment regina believe name know look started story$moment, regina, enthralled, chattanooga, healthcare
year ago dawned social medium platform taken bad turn everywhere looked picture people lunch meaningless selfies depressing news realized wasting much time scrolling countless feed viewing content served purpose unbearable came across favorite quote hate create something triggered mind world need new social platform inspire positive change wanted see social network user shared inspiring story genuine passion connect organization help create positive change boomcast born fast forward year later team eight created io app focus inspiring content passionate user one biggest blessing received recently new random user told boomcast potential heal world gave goosebump exactly asked user continued say downloaded boomcast first time saw quote read want see better change world start changing perspective time got hospital feeling incredibly sorry saw quote naturally made feel great shared joy husband went work day projected happiness colleague sudden ripple effect formed small positivity inspiring story create beautiful ripple potential heal world individual organization inspiring story mission share love collaborate boomcast hope help heal world one broadcast time join cause download app http itunes apple com u app boomcast new social network id mt milly toovey ceo co founder boomcast milly boomcastapp com$boomcast, user, inspiring, app, social
year ago grandma moved new house really lift thing cause back past problem brother helped move house beautiful$house, lift, move, cause, moved
somebody somebody necessarily person place time maybe another one$somebody, necessarily, maybe, another, place
mr willis mr west school minute talk silence yes finally replied quietly called tell natasha great day school today silence really questioned went tell natasha really proud new coat luxury like new coat rarity natasha household keeping utility turned food eat constant challenge natasha new coat provided holiday coat drive natasha seventh grade special need student often emotional outburst outburst asked participate class outburst prior night home chaotic outburst facing several day away school holiday break finally heard quiet sobbing end phone thank silence thank mr west one person ever called school good news natasha kid felt sad mr willis sorry made call sooner sorry one else school ever made call either sure natasha tough day also lot okay day heck plenty really good day next minute talked natasha infectious smile great laugh responded positively compliment mr willis truly grateful call next year half called mr willis several time sometimes share positive report sometimes discus concern year several career post later still make priority make call often possible lot changed education year parent still like hear positive report child mr willis day$natasha, mr, willis, outburst, coat
quarentine day called grandmother ask okay said sick alone daughter work came see keep company talked helped cooking make laugh really happy feeling better$quarentine, cooking, company, grandmother, sick
kindness$kindness
year ago plane next woman relentlessly energetic fidgety tired wanted take nap could go ignore mode tapped shoulder introduce hi name helga got talking eventually came started organization high school called r k e random act kindness etc described helga got serious told thought nothing important world kindness curious passionate plane took dove story last time flown year past en route arizona gotten sudden news dad health decline plane depart phoenix father physician called inform dad rather suddenly passed away hour plane ride sat stunned silence around stranger arrived airport arizona walked nearest wall sat cried part never forget helga story hour sat wept thousand walked fro airport helga looked said houston single person stopped asked okay day one person day realized much need day realized kindness normal kindness normal stuck year especially work school nationwide speaking compassion kindness empathy love reminded time many u especially young people certainly exclusively kindness usually default setting spend much time worrying problem life comfort insecurity getting flight walk ignore people need kindness every day oftentimes worried really bad taking care made mission part making kindness normal sharing story student teacher parent need character compassion help provide young people practical way exercise kindness always know look like always lookout helgas look little opportunity surround every day practice making kindness default setting info houston work school visit www houstonkraft com$helga, plane, kindness, normal, sat
year ago mom broke hip go skilled nursing facility visit facility every day take care work eventually time developed caring mom make daily love kindness stop room mom hall hall stop chat wave speak person sometimes leave little treat simple hug sometimes person reach folk people say wait daily short visit kindness one special day every day$facility, hall, daily, visit, mom
month ago really tough time traumatic event life became overwhelmed started cry subway train stranger next saw struggle said simply going okay handing tissue unsolicited gesture changed day felt compelled others often possible hugger seemed fitting offer hug anyone happened need given day first thought would pop randomly different location started carrying free hug sign everywhere went heart warmed genuine gratitude receive skeptic end hugging anyway people say moment shared best part day greater way cultivate love give freely brought child along today want regularly hope people inspired$hug, unsolicited, skeptic, cultivate, hugger
two year ago helped grandma get christmas set$christmas, set, grandma, ago, two
act kindness action good act like making plesire everyone also like kindness always ready help others difficulty smiling sociable person$plesire, sociable, difficulty, like, smiling
long college road trip mom exhausted came home usually prepares dinner everyday took upon prepare dinner whole family give mom day looked pantry saw tomato sauce pasta immediately knew going make took hour make everything worth seeing reaction mom dad sister pleasantly surprised$dinner, mom, tomato, pleasantly, pantry
interesting educational music tour cuba husband ended stuck winter storm canceled flight home boston everyone returning northeast began scrambling find alternate route home tried rebook via internet phone service work cuba wifi availability hotel poor husband finally found alternate flight florida got payment page american credit card accepted american credit debit card cannot processed cuba limited cash could get flight boston wednesday remaining cuban peso would last stuck cuba without money know would luckily woman new york also tour son managed facetime daughter maryland found booked flight tampa also paid ticket friendship began cuba solidified snowstorm$cuba, flight, alternate, tour, boston
husband died suddenly year ago experienced amazing kindness friend family people helping move sort financial issue buying grocery someone bought shoe daughter wedding driving place needed many thing amazing love support listening say thing gratefull$amazing, gratefull, financial, wedding, shoe
surgery due appendicitis allowed go trampoline practice doctor said okay sad go practice even sleep bed mom scared would fall ladder go bunk bed sleep top bunk team sent flower yellow pot smiley face also gave get well balloon card said something along line hope bounce back soon kmc trampoline team got back trampoline practice could finally learn back tuck finally became level four annoying little appendix hold back anymore easier learn new skill$trampoline, practice, bunk, back, sleep
wife jill died texting driving accident left navigate raising child making sure child grow beautiful hearted adult greatest goal child growing digital social world want help provide best tool possible digital tool create celebrate kindness created awesome social networking game good making fun good user share create kindness challenge also invite friend receive point user awarded point share kindness challenge one social platform user profile ring change color point accumulate level celebrated animated explosion take one person create ripple effect kindness let make world awesome together$user, digital, create, social, point
school time help grandma cook play sister$cook, grandma, play, sister, school
horrible destruction houston hurricane harvey family drove volunteered three home first home entire first floor destroyed everything soaked moldy two younger brother tasked duty carrying everything outside dump pile glove old wagon three plastic medical mask fun took turn riding long driveway wagon pile took turn pushing made game done lady daughter lived able begin rebuilding second house completely submerged use large machine demolish house get help allowed babysit family five kid played stream home found salamander built dam played many tag game final home helped quite small little damage time got use sledgehammer break molded wall worked hour completed work home three day went back home$home, wagon, pile, three, played
child deserve quality education year ago driving job place residence company bus full worker saw wayuu child walking school distance raining little one riding donkey devastated promised language therapist focus inclusion differentiation educational coaching something expect equal employment opportunity education good quality day supporting ethno educational centre live sector anymore thanks technology still advise teacher want local government seem care give work one step time blessed see several student become professional always translated www deepl com translator free version$educational, quality, education, wayuu, translator
day selling pastry college overwhelming missed family selling pastry couple walked smile noticed noticed tightly held arm imagined wrinkle face memory hundred beautiful memory held hand held asked pastry share slowly decided delicious dessert like eat looked eye peaceful demeanor asked always sold pastry gave story gave sure thinking popped head happened asked sing song would sing course know honor choir year song came mind sunshine sang began also began wife began sing midst pastry several customer sang sunshine thought would embarrassing turned one precious moment ever experienced eye dripping tear customer overwhelmed joy song finished looked took hand smiled sunshine filled smile ever seen said oh know much mean walked away hand hand kissed forehead opened door simple song kindness simple good$pastry, song, sunshine, sing, hand
life wrong thing mom love give happiness smile know mad mad like want best love mom$mad, mom, love, wrong, happiness
time hold door open people resturaunt dont$resturaunt, dont, hold, open, door
week mother cook time grandparent happy see u arriving food le time cook day course stay long covid$cook, arriving, grandparent, course, covid
shopkeeper shop place usually chilly one day old man came bought painkiller requested give water swallow tablet considering weather opted warm water gave grateful told never seen person felt good since become best royal customer friend mine$water, painkiller, opted, chilly, shopkeeper
kindness done family went area poor people made bunch stuff like got food body stuff went place gave$stuff, went, bunch, body, poor
grocery store people laughing shopping jolly bright wandering eye appear gently aged man looking left looking right wrong ask looked confused embarrassed quite red face let back forgot wallet needed ice cream kid ran race smiled said need return back rack let pay oh please need chance offer little pay back weekend flew party galore never thought twice man store monday tired sore vacation work tends real bore week th jotted journal mention man anything abnormal later month co worker reported man came left dash made sure left hurry muttering something give gal helped forgetful man need cash know act kindness offered without expectation receiving anything satisfaction making difference somebody bright way really wanted tell story kindness meant much never expected anything back relentlessly asked name address could give money back left rolled appeared poster paper unfurled roll poster paper gentle man left spent time sketching child wonderful paragraph describing detail sketch added little boy hand cut place attach money ice cream leave name never got wish thank never know gift priceless last great bit longer ice cream$man, left, cream, ice, back
annabel inspires every single day kindness positivity outlook everyone meet never expects anything return brightens life ray sunshine lot people life make world much better kinder happier place$expects, annabel, brightens, outlook, sunshine
antoinette one hardworking compassionate woman privileged know juggle various job manager drop center daily basis personality contagious breath fresh air anybody visiting drop center appreciate year sacrifice dedication love kingsway family$drop, center, kingsway, antoinette, privileged
april th dad birthday help mother made birthday cake big card brother father happy$birthday, april, cake, father, th
bored well help boredom chore like long destroying house reputation maybe sing draw talk friend hope virus$reputation, boredom, destroying, sing, bored
child shy never really wanted go interact one day went new place knew nobody sudden girl walk say hi youre really pretty whats name completly made day ended talking hour hour became best friend girl never came first place clue today life would looked like please$hour, completly, place, youre, girl
young parent often struggled enough money pay grocery year ago saw young family digging change pay item put back thing money told cashier put purchase month later bought$pay, young, digging, money, put
good idea born late night contemplating life difficult question coming new realization currently moment dear reader witnessing beginning journey junior high school noticed alarming lack general kindness school noticeable theme stress placed student perform high standard throughout grade level sometimes people forget one another exempt trend noticed become self involved focusing study extra curricular activity rarely find smiling student hallway simply saying good morning first block teacher may seem like small insignificant action could carry weight imagine especially teacher month old baby still wake early teach class going well good question come three promise promise try small act week nothing big elaborate good morning like shirt maybe even thank leaving teacher classroom know could rebellious mood ask someone day write letter kindness target school promise something little bit bigger month hopefully every week example making food local fire station leaving bunch positive note public place kindness target general public promise call grandparent weekend reason besides fact call grandparent kindness target personal life family go nothing$promise, target, general, good, public
